,value,count
0,,1
1,,1
2,,1
3,,1
4,,1
5,,1
6,48213.0,1
7,57529.0,1
8,,1
9,,1
10,,1
11,60929.0,1
12,,1
13,,1
14,,1
15,,1
16,,1
17,,1
18,,1
19,,1
20,,1
21,46526.0,1
22,,1
23,20515.0,1
24,,1
25,,1
26,18160.0,1
27,,1
28,,1
29,20070.0,1
30,,1
31,52019.0,1
32,,1
33,,1
34,14254.0,1
35,,1
36,43073.0,1
37,43694.0,1
38,,1
39,,1
40,,1
41,51344.0,1
42,,1
43,29797.0,1
44,,1
45,,1
46,,1
47,,1
48,,1
49,,1
50,17969.0,1
51,57008.0,1
52,,1
53,,1
54,,1
55,,1
56,37874.0,1
57,37782.0,1
58,45290.0,1
59,,1
60,41428.0,1
61,,1
62,,1
63,,1
64,,1
65,,1
66,,1
67,13407.0,1
68,,1
69,17102.0,1
70,64217.0,1
71,,1
72,,1
73,,1
74,,1
75,,1
76,17311.0,1
77,,1
78,,1
79,,1
80,,1
81,,1
82,60063.0,1
83,,1
84,36452.0,1
85,,1
86,,1
87,,1
88,36444.0,1
89,,1
90,,1
91,,1
92,,1
93,23770.0,1
94,30975.0,1
95,,1
96,,1
97,,1
98,,1
99,,1
100,,1
101,,1
102,,1
103,,1
104,16381.0,1
105,33203.0,1
106,,1
107,32243.0,1
108,43029.0,1
109,,1
110,,1
111,,1
112,37651.0,1
113,60768.0,1
114,,1
115,,1
116,,1
117,,1
118,,1
119,,1
120,,1
121,,1
122,,1
123,,1
124,,1
125,,1
126,44967.0,1
127,,1
128,,1
129,,1
130,,1
