,value,count
0,4637.0,1
1,1777.0,1
2,18253.0,1
3,663.0,1
4,19981.0,1
5,1787.0,1
6,34515.0,1
7,,1
8,2435.0,1
9,,1
10,212.0,1
11,24005.0,1
12,5850.0,1
13,,1
14,4444.0,1
15,,1
16,3949.0,1
17,3184.0,1
18,5950.0,1
19,750.0,1
20,,1
21,24128.0,1
22,1298.0,1
23,6483.0,1
24,2642.0,1
25,4516.0,1
26,6785.0,1
27,7075.0,1
28,,1
29,8683.0,1
30,220.0,1
31,,1
32,,1
33,3650.0,1
34,10578.0,1
35,,1
36,,1
37,24259.0,1
38,,1
39,3246.0,1
40,93.0,1
41,29520.0,1
42,433.0,1
43,11070.0,1
44,,1
45,,1
46,3924.0,1
47,2015.0,1
48,2420.0,1
49,,1
50,9184.0,1
51,,1
52,674.0,1
53,2449.0,1
54,20881.0,1
55,2069.0,1
56,28302.0,1
57,20700.0,1
58,,1
59,,1
60,16924.0,1
61,1972.0,1
62,702.0,1
63,2413.0,1
64,2400.0,1
65,162.0,1
66,1732.0,1
67,8799.0,1
68,,1
69,13899.0,1
70,32103.0,1
71,,1
72,376.0,1
73,4348.0,1
74,,1
75,11245.0,1
76,3104.0,1
77,2715.0,1
78,2316.0,1
79,6387.0,1
80,691.0,1
81,1524.0,1
82,24925.0,1
83,,1
84,33487.0,1
85,1506.0,1
86,901.0,1
87,2418.0,1
88,,1
89,1289.0,1
90,3819.0,1
91,3170.0,1
92,3009.0,1
93,11192.0,1
94,9935.0,1
95,,1
96,,1
97,8654.0,1
98,2646.0,1
99,,1
100,12800.0,1
101,686.0,1
102,3610.0,1
103,,1
104,9914.0,1
105,17079.0,1
106,3671.0,1
107,20990.0,1
108,17457.0,1
109,603.0,1
110,13.0,1
111,,1
112,,1
113,,1
114,96.0,1
115,11973.0,1
116,265.0,1
117,3733.0,1
118,4615.0,1
119,18190.0,1
120,,1
121,,1
122,,1
123,426.0,1
124,2946.0,1
125,,1
126,29690.0,1
127,5816.0,1
128,1041.0,1
129,1591.0,1
130,596.0,1
