,value,count
0,10.0,17
1,22.0,6
2,6.0,1
3,39.0,1
4,14.0,3
5,12.0,6
6,13.0,7
7,18.0,1
8,17.0,5
9,,1
10,,1
11,7.0,6
12,9.0,14
13,35.0,2
14,43.0,1
15,11.0,10
16,8.0,3
17,15.0,5
18,,1
19,21.0,4
20,16.0,3
21,32.0,2
22,27.0,3
23,28.0,3
24,,1
25,20.0,6
26,,1
27,,1
28,23.0,1
29,24.0,1
30,,1
31,,1
32,19.0,1
33,37.0,2
34,,1
35,,1
36,30.0,1
37,5.0,1
38,34.0,2
39,,1
40,,1
41,26.0,1
