,value,count
0,,1
1,,1
2,,1
3,,1
4,,1
5,,1
6,59408.0,1
7,63802.0,1
8,,1
9,,1
10,,1
11,64848.0,1
12,,1
13,,1
14,,1
15,,1
16,,1
17,,1
18,,1
19,,1
20,,1
21,59050.0,1
22,,1
23,,1
24,,1
25,,1
26,,1
27,,1
28,,1
29,33476.0,1
30,,1
31,64127.0,1
32,,1
33,,1
34,34705.0,1
35,,1
36,51836.0,1
37,52764.0,1
38,,1
39,,1
40,,1
41,58940.0,1
42,,1
43,25979.0,1
44,,1
45,,1
46,,1
47,,1
48,,1
49,,1
50,28475.0,1
51,79473.0,1
52,,1
53,,1
54,,1
55,,1
56,52243.0,1
57,44156.0,1
58,44893.0,1
59,,1
60,41509.0,1
61,,1
62,,1
63,,1
64,,1
65,,1
66,,1
67,34136.0,1
68,,1
69,43875.0,1
70,78310.0,1
71,,1
72,,1
73,,1
74,,1
75,,1
76,16685.0,1
77,,1
78,,1
79,,1
80,,1
81,,1
82,63225.0,1
83,,1
84,50722.0,1
85,,1
86,,1
87,,1
88,53756.0,1
89,,1
90,,1
91,,1
92,,1
93,36897.0,1
94,31922.0,1
95,,1
96,,1
97,,1
98,,1
99,,1
100,,1
101,,1
102,,1
103,,1
104,26263.0,1
105,47204.0,1
106,,1
107,48922.0,1
108,42859.0,1
109,,1
110,,1
111,,1
112,50407.0,1
113,72993.0,1
114,,1
115,,1
116,,1
117,,1
118,,1
119,,1
120,,1
121,,1
122,,1
123,,1
124,,1
125,,1
126,53985.0,1
127,,1
128,,1
129,,1
130,,1
